Country,GDP per capita,CO2 Emissions per capita
Andorra,42295,5.8
Australia,61219,15.4
Austria,51307,6.9
Belgium,47722,8.3
Canada,50398,15.1
Cyprus,26115,5.3
Denmark,60564,5.9
Estonia,19670,14.8
Finland,49497,8.7
France,44538,4.6
Germany,47590,8.9
Greece,21653,6.2
Iceland,51262,6.1
Ireland,53462,7.3
Israel,36991,7.9
Italy,35823,5.3
Japan,36332,9.5
Latvia,15729,3.5
Liechtenstein,179308,1.2
Lithuania,16386,4.4
Luxembourg,111716,17.4
Malta,24876,5.4
Netherlands,51373,9.9
New Zealand,43837,7.7
Norway,97013,9.3
Portugal,22130,4.3
Singapore,56319,10.3
Slovak Republic,18454,5.7
Slovenia,24019,6.2
South Korea,28101,11.6
Spain,30278,5
Sweden,58491,4.5
Switzerland,87475,4.3
Turkey,10482,4.5
United Kingdom,45653,6.5
United States,54597,16.5
